COUNTRY	Albania	Angola	Argentina	Australia	Austria	Bangladesh	Belgium	Bhutan	Brazil	Bulgaria	Burkina Faso	Canada	Cape+Verde	Chile	China	China, Hong Kong SAR	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Ecuador	Egypt	El Salvador	Estonia	Ethiopia	Fiji	Finland	France	Germany	Ghana	Greece	Guatemala	Honduras	Hungary	Iceland	India	Indonesia	Iran	Iraq	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kenya	Kuwait	Latvia	Lebanon	Libya	Lithuania	Luxembourg	Malawi	Malaysia	Malta	Mexico	Morocco	Mozambique	Namibia	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Panama	Peru	Philippines	Poland	Portugal	Romania	Russia	Saudi Arabia	Senegal	Serbia	Sierra Leone	Singapore	Slovakia	Slovenia	South Africa	South+Sudan	Spain	Sri Lanka	Suriname	Sweden	Switzerland	Syria	Taiwan	Tanzania	Thailand	Trinidad and Tobago	Turkey	Ukraine	United Arab Emirates	United Kingdom	United States	Uruguay	Venezuela	Viet Nam	Zambia
Sri Lanka	1.75	1.94	0.76	0.39	0.64	1.75	0.47	0.67	0.92	1.17	2.33	0.44	1.75	1.52	1.75	1.40	2.69	2.33	1.06	0.60	0.47	1.17	4.38	1.40	1.84	0.58	1.75	2.50	0.56	0.49	0.52	2.33	1.00	5.83	1.75	0.44	0.58	0.73	2.50	0.85	1.17	0.50	0.65	0.46	0.90	0.76	1.17	1.40	1.40	0.50	0.88	0.92	0.58	0.58	1.17	1.35	0.59	1.17	0.76	2.33	1.17	1.17	0.44	0.44	1.17	0.51	2.50	3.18	2.19	1.09	0.58	1.30	1.17	0.90	1.40	1.40	1.40	1.75	1.75	0.67	1.30	0.54	1.94	0.69	1.00	0.74	0.49	0.51	1.00	2.06	1.40	1.75	2.19	0.95	1.40	1.40	0.39	0.38	0.97	2.92	1.75	1.00
Suriname	2.35	2.61	1.02	0.52	0.85	2.35	0.63	0.90	1.24	1.57	3.13	0.59	2.35	2.04	2.35	1.88	3.62	3.13	1.42	0.81	0.64	1.57	5.88	1.88	2.47	0.78	2.35	3.36	0.75	0.66	0.70	3.13	1.34	7.83	2.35	0.59	0.78	0.98	3.36	1.15	1.57	0.67	0.87	0.62	1.21	1.02	1.57	1.88	1.88	0.67	1.18	1.24	0.78	0.78	1.57	1.81	0.80	1.57	1.02	3.13	1.57	1.57	0.59	0.59	1.57	0.68	3.36	4.27	2.94	1.47	0.78	1.74	1.57	1.21	1.88	1.88	1.88	2.35	2.35	0.90	1.74	0.72	2.61	0.92	1.34	1.00	0.66	0.69	1.34	2.76	1.88	2.35	2.94	1.27	1.88	1.88	0.53	0.52	1.31	3.92	2.35	1.34
Sweden	3.55	3.94	1.54	0.79	1.29	3.55	0.95	1.37	1.87	2.37	4.73	0.89	3.55	3.09	3.55	2.84	5.46	4.73	2.15	1.22	0.96	2.37	8.88	2.84	3.74	1.18	3.55	5.07	1.13	1.00	1.06	4.73	2.03	11.83	3.55	0.89	1.18	1.48	5.07	1.73	2.37	1.01	1.31	0.93	1.82	1.54	2.37	2.84	2.84	1.01	1.77	1.87	1.18	1.18	2.37	2.73	1.20	2.37	1.54	4.73	2.37	2.37	0.89	0.90	2.37	1.03	5.07	6.45	4.44	2.22	1.18	2.63	2.37	1.82	2.84	2.84	2.84	3.55	3.55	1.37	2.63	1.09	3.94	1.39	2.03	1.51	1.00	1.04	2.03	4.18	2.84	3.55	4.44	1.92	2.84	2.84	0.80	0.78	1.97	5.92	3.55	2.03
Switzerland	3.40	3.78	1.48	0.76	1.24	3.40	0.91	1.31	1.79	2.27	4.53	0.85	3.40	2.96	3.40	2.72	5.23	4.53	2.06	1.17	0.92	2.27	8.50	2.72	3.58	1.13	3.40	4.86	1.08	0.96	1.01	4.53	1.94	11.33	3.40	0.85	1.13	1.42	4.86	1.66	2.27	0.97	1.26	0.89	1.74	1.48	2.27	2.72	2.72	0.97	1.70	1.79	1.13	1.13	2.27	2.62	1.15	2.27	1.48	4.53	2.27	2.27	0.85	0.86	2.27	0.99	4.86	6.18	4.25	2.12	1.13	2.52	2.27	1.74	2.72	2.72	2.72	3.40	3.40	1.31	2.52	1.05	3.78	1.33	1.94	1.45	0.96	1.00	1.94	4.00	2.72	3.40	4.25	1.84	2.72	2.72	0.76	0.75	1.89	5.67	3.40	1.94
Syria	1.75	1.94	0.76	0.39	0.64	1.75	0.47	0.67	0.92	1.17	2.33	0.44	1.75	1.52	1.75	1.40	2.69	2.33	1.06	0.60	0.47	1.17	4.38	1.40	1.84	0.58	1.75	2.50	0.56	0.49	0.52	2.33	1.00	5.83	1.75	0.44	0.58	0.73	2.50	0.85	1.17	0.50	0.65	0.46	0.90	0.76	1.17	1.40	1.40	0.50	0.88	0.92	0.58	0.58	1.17	1.35	0.59	1.17	0.76	2.33	1.17	1.17	0.44	0.44	1.17	0.51	2.50	3.18	2.19	1.09	0.58	1.30	1.17	0.90	1.40	1.40	1.40	1.75	1.75	0.67	1.30	0.54	1.94	0.69	1.00	0.74	0.49	0.51	1.00	2.06	1.40	1.75	2.19	0.95	1.40	1.40	0.39	0.38	0.97	2.92	1.75	1.00
Taiwan	0.85	0.94	0.37	0.19	0.31	0.85	0.23	0.33	0.45	0.57	1.13	0.21	0.85	0.74	0.85	0.68	1.31	1.13	0.52	0.29	0.23	0.57	2.12	0.68	0.89	0.28	0.85	1.21	0.27	0.24	0.25	1.13	0.49	2.83	0.85	0.21	0.28	0.35	1.21	0.41	0.57	0.24	0.31	0.22	0.44	0.37	0.57	0.68	0.68	0.24	0.42	0.45	0.28	0.28	0.57	0.65	0.29	0.57	0.37	1.13	0.57	0.57	0.21	0.22	0.57	0.25	1.21	1.55	1.06	0.53	0.28	0.63	0.57	0.44	0.68	0.68	0.68	0.85	0.85	0.33	0.63	0.26	0.94	0.33	0.49	0.36	0.24	0.25	0.49	1.00	0.68	0.85	1.06	0.46	0.68	0.68	0.19	0.19	0.47	1.42	0.85	0.49
Tanzania	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
Thailand	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Trinidad and Tobago	0.80	0.89	0.35	0.18	0.29	0.80	0.21	0.31	0.42	0.53	1.07	0.20	0.80	0.70	0.80	0.64	1.23	1.07	0.48	0.28	0.22	0.53	2.00	0.64	0.84	0.27	0.80	1.14	0.25	0.23	0.24	1.07	0.46	2.67	0.80	0.20	0.27	0.33	1.14	0.39	0.53	0.23	0.30	0.21	0.41	0.35	0.53	0.64	0.64	0.23	0.40	0.42	0.27	0.27	0.53	0.62	0.27	0.53	0.35	1.07	0.53	0.53	0.20	0.20	0.53	0.23	1.14	1.45	1.00	0.50	0.27	0.59	0.53	0.41	0.64	0.64	0.64	0.80	0.80	0.31	0.59	0.25	0.89	0.31	0.46	0.34	0.23	0.24	0.46	0.94	0.64	0.80	1.00	0.43	0.64	0.64	0.18	0.18	0.44	1.33	0.80	0.46
Turkey	1.85	2.06	0.80	0.41	0.67	1.85	0.49	0.71	0.97	1.23	2.47	0.46	1.85	1.61	1.85	1.48	2.85	2.47	1.12	0.64	0.50	1.23	4.62	1.48	1.95	0.62	1.85	2.64	0.59	0.52	0.55	2.47	1.06	6.17	1.85	0.46	0.62	0.77	2.64	0.90	1.23	0.53	0.69	0.49	0.95	0.80	1.23	1.48	1.48	0.53	0.93	0.97	0.62	0.62	1.23	1.42	0.63	1.23	0.80	2.47	1.23	1.23	0.46	0.47	1.23	0.54	2.64	3.36	2.31	1.16	0.62	1.37	1.23	0.95	1.48	1.48	1.48	1.85	1.85	0.71	1.37	0.57	2.06	0.73	1.06	0.79	0.52	0.54	1.06	2.18	1.48	1.85	2.31	1.00	1.48	1.48	0.42	0.41	1.03	3.08	1.85	1.06
Ukraine	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
United Arab Emirates	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
United Kingdom	4.45	4.94	1.93	0.99	1.62	4.45	1.19	1.71	2.34	2.97	5.93	1.11	4.45	3.87	4.45	3.56	6.85	5.93	2.70	1.53	1.20	2.97	11.12	3.56	4.68	1.48	4.45	6.36	1.41	1.25	1.33	5.93	2.54	14.83	4.45	1.11	1.48	1.85	6.36	2.17	2.97	1.27	1.65	1.17	2.28	1.93	2.97	3.56	3.56	1.27	2.23	2.34	1.48	1.48	2.97	3.42	1.51	2.97	1.93	5.93	2.97	2.97	1.11	1.13	2.97	1.29	6.36	8.09	5.56	2.78	1.48	3.30	2.97	2.28	3.56	3.56	3.56	4.45	4.45	1.71	3.30	1.37	4.94	1.75	2.54	1.89	1.25	1.31	2.54	5.24	3.56	4.45	5.56	2.41	3.56	3.56	1.00	0.98	2.47	7.42	4.45	2.54
United States	4.55	5.06	1.98	1.01	1.65	4.55	1.21	1.75	2.39	3.03	6.07	1.14	4.55	3.96	4.55	3.64	7.00	6.07	2.76	1.57	1.23	3.03	11.38	3.64	4.79	1.52	4.55	6.50	1.44	1.28	1.36	6.07	2.60	15.17	4.55	1.14	1.52	1.90	6.50	2.22	3.03	1.30	1.69	1.20	2.33	1.98	3.03	3.64	3.64	1.30	2.27	2.39	1.52	1.52	3.03	3.50	1.54	3.03	1.98	6.07	3.03	3.03	1.14	1.15	3.03	1.32	6.50	8.27	5.69	2.84	1.52	3.37	3.03	2.33	3.64	3.64	3.64	4.55	4.55	1.75	3.37	1.40	5.06	1.78	2.60	1.94	1.28	1.34	2.60	5.35	3.64	4.55	5.69	2.46	3.64	3.64	1.02	1.00	2.53	7.58	4.55	2.60
Uruguay	1.80	2.00	0.78	0.40	0.65	1.80	0.48	0.69	0.95	1.20	2.40	0.45	1.80	1.57	1.80	1.44	2.77	2.40	1.09	0.62	0.49	1.20	4.50	1.44	1.89	0.60	1.80	2.57	0.57	0.51	0.54	2.40	1.03	6.00	1.80	0.45	0.60	0.75	2.57	0.88	1.20	0.51	0.67	0.47	0.92	0.78	1.20	1.44	1.44	0.51	0.90	0.95	0.60	0.60	1.20	1.38	0.61	1.20	0.78	2.40	1.20	1.20	0.45	0.46	1.20	0.52	2.57	3.27	2.25	1.12	0.60	1.33	1.20	0.92	1.44	1.44	1.44	1.80	1.80	0.69	1.33	0.55	2.00	0.71	1.03	0.77	0.51	0.53	1.03	2.12	1.44	1.80	2.25	0.97	1.44	1.44	0.40	0.40	1.00	3.00	1.80	1.03
Venezuela	0.60	0.67	0.26	0.13	0.22	0.60	0.16	0.23	0.32	0.40	0.80	0.15	0.60	0.52	0.60	0.48	0.92	0.80	0.36	0.21	0.16	0.40	1.50	0.48	0.63	0.20	0.60	0.86	0.19	0.17	0.18	0.80	0.34	2.00	0.60	0.15	0.20	0.25	0.86	0.29	0.40	0.17	0.22	0.16	0.31	0.26	0.40	0.48	0.48	0.17	0.30	0.32	0.20	0.20	0.40	0.46	0.20	0.40	0.26	0.80	0.40	0.40	0.15	0.15	0.40	0.17	0.86	1.09	0.75	0.38	0.20	0.44	0.40	0.31	0.48	0.48	0.48	0.60	0.60	0.23	0.44	0.18	0.67	0.24	0.34	0.26	0.17	0.18	0.34	0.71	0.48	0.60	0.75	0.32	0.48	0.48	0.13	0.13	0.33	1.00	0.60	0.34
Viet Nam	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Zambia	1.75	1.94	0.76	0.39	0.64	1.75	0.47	0.67	0.92	1.17	2.33	0.44	1.75	1.52	1.75	1.40	2.69	2.33	1.06	0.60	0.47	1.17	4.38	1.40	1.84	0.58	1.75	2.50	0.56	0.49	0.52	2.33	1.00	5.83	1.75	0.44	0.58	0.73	2.50	0.85	1.17	0.50	0.65	0.46	0.90	0.76	1.17	1.40	1.40	0.50	0.88	0.92	0.58	0.58	1.17	1.35	0.59	1.17	0.76	2.33	1.17	1.17	0.44	0.44	1.17	0.51	2.50	3.18	2.19	1.09	0.58	1.30	1.17	0.90	1.40	1.40	1.40	1.75	1.75	0.67	1.30	0.54	1.94	0.69	1.00	0.74	0.49	0.51	1.00	2.06	1.40	1.75	2.19	0.95	1.40	1.40	0.39	0.38	0.97	2.92	1.75	1.00
