COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Croatia	0 	0 	C 	1214 	0 	17 		31 	24 		82 	17 		0 	13 		0 		31 	17 	62 		68 		268 	1722 		68 	14 	34 		0 		112 	0 	0 	263 	385 	27 		1 		0 	2076 		29 			685 	0 		143 			0 	C 	0 		0 		2 	0 	9 	79 	58 	0 			713 	716 	0 	0 	C 	8978 
Cuba	0 	0 		0 	0 	0 		0 	0 	0 	0 	0 		0 	0 		0 		0 	9 	0 				0 	0 						0 		0 		0 		0 					0 	1 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			10 	1 	0 	0 		21 
Curacao																																																																										
Curacao & St. Maarten																																																																										
Cyprus	0 	0 		1037 	0 	0 		178 	0 		0 	0 	2 	0 	13 	1 	0 			5 	0 		3 		588 	1414 		681 	132 	3 	3 	0 		99 		4 	148 	3 	25 		1 		0 	522 		26 			219 	0 		21 			3 	0 	0 		53 		0 	0 	40 		131 	0 			635 	103 	0 	0 	C 	6093 
Czech Republic	0 	0 	C 	1162 	0 	0 		539 	1 	0 	0 	88 		0 	2 		0 		107 		170 		17 	15 	373 	2079 		23 	37 	36 		0 		895 		0 	192 	34 	104 		2 		0 	3099 		0 			270 	0 		63 			0 	C 	73 		0 	3 	154 	0 	70 	153 	63 	0 			1338 	1876 	0 	0 	C 	13036 
Denmark	0 	0 	629 	5211 	13 	0 	55 	4727 	302 	1 	4 	1446 		3 	636 	34 	0 	0 	70 	19 		4 	54 	3629 	9396 	12706 		68 	608 	1 	38 	0 		6067 	439 	31 	1942 	9544 	616 	41 	2 		3 	12323 	0 	15 	6 		5379 	16 	25 	7227 		1 	0 	98 	205 		0 	759 	3 	2 	1931 	6628 	4047 	0 	0 		22600 	23882 	5 	1 	C 	143492 
Djibouti	0 	0 		0 	0 	0 		0 	6 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		6 
Dominica	0 	0 	C 	0 	0 	0 			0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 		0 			0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	0 
Dominican Republic	0 	0 		15 	0 	0 		0 	0 	0 	0 	19 		2 	0 		0 	2 	0 		26 				47 	18 			8 			0 		8 		0 	16 	1 	6 				1 	52 		0 			26 	0 				4 	0 	0 	0 		0 		0 	0 	0 		4 	0 			57 	503 	0 	0 		815 
