COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Pakistan	0 		2 	8 			0 	0 	14 		0 	9 		0 	77 			0 	0 		87 	2 			7 	26 		0 	17 					49 	0 		12 	13 	6 	0 	7 	99 	0 	0 	289 	5 		58 		96 			0 				0 	15 	0 	0 	0 			0 	5 	7 	0 	0 		271 	1026 	0 			0 	2208 
Palau	0 		0 	0 				0 	0 		0 	0 		0 	0 			0 	0 		0 					0 		0 	0 					0 	0 			0 		0 	0 		0 		0 					0 			0 				0 	0 	0 	0 				0 		0 	0 			0 		0 			0 	0 
Panama	37 		13 	104 	66 		1 	27 	5 	59 	0 	777 	67 	6 	130 		25 	25 	16 	0 	470 			8 	344 	383 		0 	41 			0 		278 	1 		214 	376 	16 	9 	5 		0 	0 	2112 				1 	709 	4 		89 				C 	19 	0 	50 		1 		36 	9 	1202 	0 			896 	26069 	1 		3 	C 	34705 
Papua New Guinea	0 		C 	7 				1 	3 		0 	63 		0 	12 			0 	0 		0 				25 	14 		0 	2 					4 	0 		8 	29 		0 	0 		0 		317 	0 				16 			76 				0 	0 	0 	0 				0 		44 	0 			114 	1298 	0 			C 	2033 
Paraguay	0 		0 	0 				0 	0 	15 	0 	0 		0 	2 			0 	0 		0 					-1 		0 	0 					0 	0 			0 		0 	0 		0 		1 					0 			0 				0 	0 	0 	0 			2 	0 		0 	0 			0 		0 			0 	18 
Peru	15 		13 	109 	14 		0 	38 	3 	0 	0 	118 	9 	126 	8 		2 	2 	8 	0 	401 			0 	207 	410 		4 	142 					333 	0 		211 	345 	14 	0 	9 		0 	0 	2096 					469 	16 		14 		46 		0 	31 	0 	0 		1 		33 	17 	35 	0 			1242 	3763 	0 			C 	10304 
Philippines	0 		282 	198 			0 	59 	39 	0 	0 	280 	71 	4 	973 	0 		37 	0 		872 			25 	1438 	1283 		14 	548 	0 		0 	2 	1349 	0 		453 	1602 	67 	14 	29 	0 	0 	0 	3587 	26 		5 		1060 	5 	C 	26 				C 	34 	0 	0 	1819 	2 	0 	87 	29 	392 	1 	1 		4310 	10989 	0 		0 	C 	32015 
Pitcairn Islands	0 		C 	0 				0 	0 		0 	0 		0 	0 			0 	0 		0 					0 			0 					0 	0 			0 		0 	0 		0 		0 					0 			0 				0 	0 	0 	0 				0 			0 			0 		0 			0 	0 
Poland	0 		86 	7133 			0 	1227 	11 	1 	0 	331 		0 	20 	4 		0 	142 	644 	963 		241 	783 	2998 	11812 	2 	781 	152 	199 				5807 	0 	2 	686 	4086 	27 	7 	26 		10 		13277 					2821 	1 	C 	454 					233 	17 	21 	382 	130 		455 	750 	603 	2 			6896 	11816 	0 			C 	76041 
Portugal	0 		172 	1798 	4 			8704 	35 	152 	0 	422 	266 	0 	222 	23 		0 	114 	198 	353 	0 	2 	962 	37050 	24935 		216 	241 	4 	49 			39864 	0 	4 	7805 	2160 	1349 	0 	12 	24 	1 	0 	11676 	0 				8900 		C 	2929 				C 		0 	8 	544 	5 	0 	8043 	424 	1179 	1 	184 		10497 	6485 	0 			4067 	182082 
