COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Kazakhstan	0 	0 	0 	76 	0 	0 	0 	2 	1 	0 	0 	5 	53 	0 	6 	0 	0 	0 	4 	8 	46 	0 	2 	0 	117 	91 	0 	15 	19 	0 	0 	0 	0 	29 	0 	0 	14 	33 	2 		3 	0 	0 	280 	0 		0 	0 	97 	0 	0 	0 	0 	0 	16 	0 	0 	0 	9 		0 	0 	6 	19 	88 	0 	2 	0 	1381 	336 	0 	0 	0 	C 	2758 
Kenya	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	12 	0 	0 	1 	0 	54 	0 	0 	0 	0 	29 	0 	0 	7 	0 	45 	0 		97 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	2 	0 	0 	1 	0 	0 	0 	C 	20 	0 	0 	0 	0 	272 
Kiribati	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	9 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 
Korea, Democratic People's Rep. of	0 	0 	0 		0 	0 	0 		0 	0 	0 		0 		0 	0 	0 		0 	0 	0 	0 		0 		0 				0 	0 			0 	0 	0 		0 	0 	0 	0 	0 	0 	0 			0 	0 	0 		0 		0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 		0 	0 	0 	0 	C 	0 
Korea, Republic of	0 	1 	2069 	573 	17 	77 	0 	268 	4225 	234 	2 	5378 	6 	2 	12277 	187 	0 	0 	172 	3 	1682 	2 	2 	531 	3490 	1582 	0 	27 	747 	8 	15 	0 	1 	6884 	11 	14 	1870 	7456 	329 	2 		0 	10 	20808 	97 		167 	0 	6965 	6 	C 	2063 	0 	4 	62 	C 	22 	0 	0 	13677 	3 	9 	183 	1523 	1829 	76 	0 	0 	35815 	118507 	0 	0 	0 	C 	251969 
Kosovo, Republic of																																																																											
Kuwait	0 	0 	0 	51 	10 	471 	0 	5 	0 	0 	0 	0 	0 	0 	93 	0 	0 	0 	23 	0 	0 	11 		0 	69 	71 	0 	0 	104 	0 	0 	0 	0 	211 	0 	0 	0 	0 	0 	0 	0 		4 	43 	0 		0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 		0 	0 	35 	0 	97 	0 	0 	0 	C 	0 	0 	0 	0 	0 	1300 
Kyrgyz Republic	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	C 	4 
Lao People's Democratic Republic	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	0 
Latvia	0 	0 	0 	101 	0 	0 	0 	13 	0 	0 	2 	0 	0 	0 	C 	0 	0 	0 	13 	0 	1 	0 	99 	56 	59 	517 	0 	15 	3 	0 	0 	0 	0 	22 	0 	0 	5 	4 	0 	2 	0 	0 	0 	87 	0 		0 	0 	17 	0 	0 	1 	0 	0 	0 	C 	6 	0 	1 		1 	0 	1 	54 	5 	0 	0 	0 	22 	13 	0 	0 	0 	C 	1121 
Lebanon	0 	0 	0 	4 	0 	9 	0 	7 	0 	6 	0 	4 	2 	0 	7 	0 	0 	0 	40 	0 	89 	4 		0 	86 	31 	0 	0 	18 	0 	0 	0 	0 	39 	0 	0 	36 	20 	45 	0 	0 	72 		187 	0 		0 	0 	17 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	12 	0 	0 	0 	753 	408 	0 	0 	0 	0 	1895 
Lesotho	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	-31 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	-31 
