COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Gabon	0 		0 	0 		0 	0 	2 	53 	0 	0 			0 	0 		0 	0 		0 		54 	0 		0 	156 	106 			0 	0 			0 	73 	0 		8 	23 	66 	0 	0 	0 		0 		0 	83 					53 	0 			0 		0 	0 		0 			0 		C 	0 	41 	0 	0 		53 	0 	0 	0 	0 	771 
Gambia, The	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 			3 		0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	3 
Georgia	0 		0 	8 		31 	0 	1 	0 		0 		4 	0 	0 		0 	0 		13 	1 	56 	0 	2 	0 	1 	17 		3 	54 	0 			0 	31 	0 		8 	11 	13 	0 	5 	0 		1 	0 	6 	221 	1 		1 		48 	0 	9 		0 		C 	0 		0 			0 		C 	13 	9 	0 	0 		52 	211 	3 	0 	C 	835 
Germany	39 	2 	23832 	74360 	41 	1070 	523 	55596 	11667 	58 	395 	19696 	233 	6420 	15604 	250 	328 	97 	236 	779 	1408 	52211 	71 	446 	27470 	344958 		47 	2491 	9450 	1241 	490 	24 	8 	124373 	267 	1156 	72240 	202286 	14653 	2086 	2559 	47 	137 	248 	42 	447 	345572 	361 	522 	11 	59 	197143 	505 	59732 	1 	35 	255 	439 	14952 	143 	867 	C 	1429 	2417 	350 	40028 	38434 	105194 	202 	319 		184872 	295413 	110 	0 	554752 	2916201 
Ghana	0 		0 	4 		0 	0 	0 	0 		0 			0 	25 		19 	0 	0 	0 		33 	0 		0 	26 	24 			17 	0 		0 	0 	11 	0 		5 	15 	9 	0 	0 	0 		0 	0 	0 	473 			410 		37 	0 	31 		0 		0 	0 		0 			0 	22 	0 	0 	11 	0 	0 		489 	367 	0 	0 	C 	2030 
Gibraltar	0 		0 	92 			0 	1 	5 	1424 	0 			0 	C 		0 	0 		0 	0 	1 	0 		0 	134 	52 			1 	3 			0 	16 	0 		17 	2 	3 	0 	8 	0 		0 		0 	49 					9 	0 	14 		1 	0 	0 	0 		82 	C 		0 		C 	4 	70 	0 	0 		753 	294 	0 	0 	C 	3036 
Greece	0 	0 	120 	5561 		17 	0 	9938 	2 	0 	42 	487 	2 	1 	85 	0 	0 	0 	0 	19244 	663 	797 	0 	18 	2590 	44027 	40408 			123 	32 	1 		0 	3626 	29 	36 	5724 	948 	410 	0 	9 	0 	10 	12 	28 	63 	8433 	17 	508 			9045 	0 	1638 		0 	15 	C 	6042 	122 	32 	C 	1179 	725 	13 	10821 	555 	1436 	0 	75 		5810 	7085 	2 	0 	C 	188610 
Greenland	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		63 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		C 	0 	0 	0 	0 		0 	0 	0 	0 	0 	63 
Grenada	0 		0 	0 			3 	3 	0 		0 		3 	0 	0 		0 	0 		0 		0 	0 		0 	13 	0 			0 	0 			0 	12 	0 		0 	4 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			1 		0 	0 	0 	0 	0 		2 	19 	0 	0 	0 	60 
Guadeloupe	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		7 	0 		0 		0 			0 	0 			0 	13 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 					0 	0 		0 	0 		-2 	0 	0 	0 	0 	19 
Guam	0 		0 	0 		26 	0 	11 	0 		0 			0 	0 		0 	0 		0 		20 	0 		0 		0 			32 	0 			0 	0 	3 			0 		0 	12 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 		0 	0 		-2 	0 	0 	0 	0 	103 
Guatemala	0 		C 	1 	408 		28 	0 	2 	0 	0 		3 	0 	C 		0 	0 		0 		4 	0 		0 	7 	7 			0 	0 			0 	20 	0 		1 	0 		0 	0 	0 				0 	26 					1 	0 	2 		93 		0 	0 		0 			0 		0 	0 	0 	0 	0 		15 	55 	0 	0 	0 	674 
Guernsey	0 		C 	990 		63 	0 	1055 	50 	10 	0 	1071 		0 	453 	4 	0 	0 	32 	31 	33 	881 	0 	1 	1998 	5619 	5783 	2 	99 		18 	68 		0 	1061 	1145 		1133 	7604 	789 	0 	97 	0 		1 	2 	26 	4167 	0 	14 	34 		4614 	0 	2678 		0 		3 	145 		0 	84 	1 	0 	3112 	776 	351 	8524 	15 	0 		13173 	14796 	1 	0 	C 	82611 
Guiana, French	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			3 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 					0 	0 		0 	0 		0 	0 	0 	0 	C 	3 
Guinea	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 	23 	0 	0 	0 				0 	0 			0 		0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	2 	0 	0 	0 	26 
Guinea-Bissau	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 	0 				0 	0 			0 		0 	7 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	7 
Guyana	0 		0 	0 			0 	0 	6 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		8 	0 	0 	0 	0 	14 
Haiti	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 
Honduras	0 		C 	0 			0 	0 	0 		0 			0 	C 		0 	6 		0 		0 	0 		0 	0 	0 			0 	0 			0 	0 	0 			0 	2 	0 	0 	0 				0 	5 				1 	0 	0 			57 		0 	0 		0 			0 		0 	0 	119 	0 	0 		2 	29 	0 	0 	0 	220 
Hungary	0 		137 	5036 		0 	0 	681 	47 	16 	169 	285 		0 	265 		0 	0 	0 	59 	322 	506 	0 	30 	108 	2599 	9117 		135 	399 		0 		4 	1590 	0 	3 	508 	742 	53 	3 	88 	0 		26 	5 	55 	8579 	1 	0 	0 		2083 	0 	596 		0 		688 	52 	64 	223 	C 	806 	128 	1 	299 	233 	693 	2 	0 		4613 	6565 	1 	0 	C 	48616 
Iceland	0 		C 	231 			0 	173 	26 		5 	60 	1 	0 	33 		0 	0 	0 	1 	12 	123 	0 	1 	8 	646 	1459 		5 	6 	0 			0 	128 	0 	1 	364 	180 		43 	0 	0 		2 	9 	18 	497 	0 			1 	230 	0 	57 		0 		C 	145 		0 	C 	1 	1 		239 	111 	120 	0 	0 		3257 	1644 	0 	0 	C 	9839 
India	1 	1 	3432 	600 	28 	357 	0 	314 	645 	1 	0 	5572 	25 	80 	9408 	35 	0 	0 	2 	0 	2 	1860 	2 	0 	1257 	8233 	1352 	91 	47 	924 	18 	4 		10 	5726 	24 	1 	581 	6219 	499 	0 	3324 	0 	250 	0 	4 	0 	39325 	301 		120026 	37 	4443 	0 	3745 		5 	0 	C 	7 		1 	29436 	2 	70 	129 	C 	1066 	1190 	459 	0 		28174 	91486 	1 	0 	C 	370832 
Indonesia	0 	0 	969 	212 	2 	3 	0 	89 	746 		0 	1624 	67 	8 	2264 	1 	0 	0 	2 	0 	0 	1120 	0 	1 	134 	1887 	1347 			868 	0 	1 	44 		3055 	0 		611 	5991 	338 	0 	497 	0 	51 	1 	1 	0 	17543 	1019 		473 		2634 	0 	820 		0 	697 	C 	0 		0 	20941 	2 	6 	2 	C 	271 	378 	63 	0 		6939 	34861 	0 	0 	C 	108583 
Iran, Islamic Republic of	0 		0 	0 			0 	0 	0 		0 			22 	0 	9 	0 	0 		0 	2 	0 	0 		0 	1 	0 		0 	0 	0 			0 	0 	0 			0 	146 	0 	0 	0 	0 		0 	0 	0 					0 	0 	62 		0 		0 	0 		2 			0 		0 	0 	0 	1 	0 		179 	0 	0 	0 	0 	423 
Iraq	0 		0 	12 		3 	0 	0 	5 		0 	9 		0 	0 		0 	0 	0 	0 	15 	67 	0 		0 	6 	12 			77 	0 			0 	9 	0 		16 	55 		0 	274 	0 	167 			0 	361 					170 	0 			0 		0 	0 		0 		1 	0 		0 	0 	18 	0 	0 		30 	0 	0 	0 	0 	1308 
Ireland	0 	14 	2911 	12162 	31 	86 	97 	38365 	5747 	101 	137 	4447 	559 	7338 	13772 	315 	60 	1 	109 	1693 	819 	15523 	13 	281 	15865 	116995 	148978 	22 	1654 	5857 	521 	889 	11 	0 		3856 	1740 	56360 	55374 	6974 	89 	1705 	371 	251 	250 	68 	262 	73506 	217 	957 	57 	66 	51084 	0 	10706 		51 	107 	91 	41595 	41 	6554 	2440 	2478 	355 	7325 	30217 	13802 	26944 	1052 	7 		151685 	131936 	12 	0 	14930 	1090888 
Isle of Man	0 		C 	11 			0 	6 	56 	2 	0 	108 		0 	8 	1 	0 	0 	0 	13 	0 	43 	0 	2 	58 	114 	100 		0 	206 	0 	2 		0 	329 			21 	992 	14 	0 	21 	0 		0 	0 	1 	1230 	1242 		27 		210 	0 	4 		0 		C 	0 		9 	C 		0 	110 	C 	11 	106 	0 	0 		1867 	2842 	0 	0 	0 	9766 
Israel	0 	1 	435 	263 			8 	123 	51 	4 	0 	2022 	104 	0 	14 		0 	0 	2 	25 	4 	242 	0 	0 	98 	1396 	1137 		1 	2147 	82 	3 	0 	0 	581 	1 		135 	2389 	45 	4 	104 	0 		0 		0 	4503 	0 		11 		946 	0 	1011 		5 		C 	0 		0 	C 	1 	14 	128 	C 	209 	439 	137 	0 		6795 	63502 	3 	0 	C 	89127 
Italy	2 	1 	3391 	23108 		16 	0 	46580 	1046 	48 	45 	7557 	74 	4 	1904 	65 	0 	0 	8 	1100 	793 	7078 	71 	168 	8101 	318950 	203689 	2 	1653 	2702 	13 	12 		13 	117022 	24 	191 		75355 	2406 	1424 	752 	47 	7 	12 	15 	109 	153403 	9 	677 	48 	0 	70595 	0 	23452 		2 	0 	3 	13662 	11 	18 	3677 	2094 	898 	32 	61638 	3810 	8352 	68 	0 		130513 	65638 	81 	0 	65757 	1429997 
Jamaica	0 	0 	0 	9 		0 	0 	16 	0 	1 	0 	3 	30 	0 	0 		0 	0 		0 	0 	2 	0 		1 	9 	80 		0 	0 	0 			0 	3 	0 		20 	25 		0 	0 	0 				0 	36 					3 	0 			1 		C 	0 		0 			0 		C 	0 	13 	0 	0 		171 	315 	0 	0 	C 	738 
Japan	110 	9 	22702 	1414 		136 	313 	2586 	4341 	23 	0 	39993 	14 	1341 	24486 	90 	169 	0 	102 	4 	13 	6088 	0 	2 	544 	92170 	31365 	2 	5 	1041 	5 	111 	35 	14 	43718 	108 	118 	4061 		7062 	2012 	5523 	0 	82 	1 	3 	3 	68726 	211 	22 	75 		25039 	1520 	30164 		0 	64 	C 	482 		0 	C 	4 	38 	246 	1826 	11897 	19913 	127 	0 		153437 	502796 	30 	0 	228865 	1337399 
Jersey	0 	1 	C 	3715 	27 	106 	369 	4308 	310 	5 	6 	960 	20 	0 	2481 	17 	0 	0 	36 	70 	90 	1541 	0 	2 	1210 	16398 	17833 	2 	1142 	986 	47 	24 		0 	7527 	448 	3 	4606 	19476 		0 	412 	0 	136 	11 	17 	5 	20012 	2 	334 	669 		7701 	0 	928 		0 		12 	1723 	1 	818 	473 		3 	2311 	5640 	1084 	17153 	1 	0 		47785 	41906 	2 	0 	C 	232905 
Jordan	0 		C 	3 		314 	0 	0 	10 		0 	6 		0 	4 		0 	0 		15 		38 	11 		0 	7 	33 			114 	0 		0 	0 	45 	0 		4 	10 	244 	0 	1 	0 	662 		98 	0 	225 	0 				44 	0 			0 		C 	0 		0 	C 		0 		0 	0 	3 	0 	0 		249 	118 	0 	0 	0 	2260 
Kazakhstan	0 		11 	246 		47 	0 	14 	138 	0 	2 	86 	170 	0 	19 	1 	0 	0 	0 	116 	36 	258 	0 	4 	0 	115 	2934 		32 	556 	53 	1 		0 	124 	0 		106 	151 	97 		86 	0 		38 	1 	11 	1493 					386 	0 	15 		0 	0 	C 	23 		237 	C 		1 		C 	29 	66 	0 	7 		4869 	2993 	0 	0 	C 	15572 
Kenya	0 		0 	0 			0 	0 	0 		0 	2 		0 	8 		0 	0 	0 	0 		21 	0 		0 	2 	3 			7 	0 		1 	0 	45 	0 		11 	2 	88 	0 	1 	0 				0 	265 			184 		0 	0 	19 		0 		0 	0 		0 	C 		0 	49 	0 	3 	5 	0 	0 		44 	192 	0 	0 	0 	954 
Kiribati	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 	1 		0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	2 	0 	0 	0 	3 
Korea, Democratic People's Rep. of	0 		C 				0 				0 				0 		0 			0 		0 	0 		0 		0 				0 				0 	0 			0 		0 	0 	0 			0 	0 	0 					0 	0 			5 		0 	0 		0 					0 	0 		0 	0 			0 	0 	0 	0 	5 
Korea, Republic of	0 	1 	4764 	929 	1 	110 	1 	606 	1527 	944 	0 	9189 	180 	94 	20225 	193 	0 	0 	7 	1 	3 	1975 	1 	0 	536 	13107 	5385 	2 	16 	567 	9 	9 	32 	130 	14915 	10 	30 	1051 	18016 	294 	105 		0 	4 	0 	58 	4 	42279 	2944 	6 	65 	55 	8786 	0 	7193 		22 	250 	C 	8 		7 	30799 	4 	34 	39 	C 	1944 	5095 	11238 	0 		58962 	148188 	0 	0 	C 	412946 
Kosovo, Republic of			0 								0 											0 					0 							0 	0 							0 					0 	0 					0 				0 		0 									0 		0 						0 		0 
Kuwait	0 		C 	68 		502 	0 	0 	15 		0 	12 		3 	125 	15 	0 	0 	0 	5 		17 	15 		0 	27 	59 		0 	112 	0 		0 	0 	17 	0 			32 	59 	0 	20 	0 			38 	0 	391 	305 		31 		27 	0 			0 	0 	0 	0 		0 	C 		0 	1 	C 	0 	1 	0 	0 		515 	0 	0 	0 	0 	2413 
Kyrgyz Republic	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		27 	0 	0 				0 	53 					0 	0 			0 		0 	0 		0 	C 		0 		0 	0 	2 	0 	0 		0 	0 	1 	0 	C 	83 
Lao People's Democratic Republic	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			3 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	8 	0 		1 	0 	0 	0 	0 	12 
Latvia	0 		0 	277 			0 	1 	0 		0 	5 		0 	0 		0 	0 		3 		0 	0 	73 	36 	4 	668 		4 	35 	3 			0 	0 	0 		25 	0 	33 	0 	0 	0 				55 	47 					0 	0 	149 		0 		0 	0 		2 		35 	4 		C 	187 	10 	0 	0 		22 	13 	0 	0 	0 	1692 
Lebanon	0 		0 	20 		11 	0 	27 	0 	4 	0 	12 		0 	68 		0 	0 	0 	323 		122 	10 		0 	119 	95 			107 	0 			0 	19 	0 		47 	86 	360 	0 	0 	0 	86 			0 	391 			12 		158 	0 	1 		0 		0 	0 		0 	C 		0 		C 	0 	10 	0 	0 		119 	463 	0 	0 	0 	2670 
Lesotho	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 			3 		0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		12 	0 	0 	0 	0 	15 
