COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Belgium	4 	0 	358 	3567 				1265 	5 	8 	811 	50 	17 	1554 	22 	4 		38 	16 	1581 	18 	100 	2671 	52716 	19052 	232 	1645 	6 	2 	4 	7427 	21 	7 	9305 	15296 	493 	48 	15 		1 	38693 	0 	89 	0 		24207 	15 	0 	1497 	0 		70 	C 	2450 	0 	1 	421 	4 	14 	7734 	1112 	4566 	1 			17761 	16987 	0 		0 	C 	233982 
Belize	0 	0 		0 		4 	0 	2 	58 		1 	5 	0 				2 	4 		0 				3 	0 	0 						0 		0 	0 						58 					0 	6 				0 		0 	0 		0 			0 	0 	0 	8 	0 			C 	77 	0 	36 	0 		265 
Benin	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	6 	0 			0 		0 		0 	C 	6 
Bermuda	0 	0 	C 	608 	25 	7 	792 		15 		2513 	89 	0 	36563 	138 		0 	25 	24 	95 	1 		52 	4395 	1402 	18 	2352 	1 	1 	0 	1028 	420 	6 	2093 	5024 	212 	5 	47 	20 	7 	5227 	25 	3 	2 	5 	2512 	23 		591 		3 	0 	C 	54 		12 	3102 	1 	438 	198 	380 	3790 	0 			4292 	116295 	8 		0 	C 	194939 
Bhutan	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 	C 	0 
Bolivia	0 	0 		0 			0 	0 	0 		0 	0 	0 					0 		0 				1 	0 	0 						0 		0 	0 						2 					0 							0 	0 		0 			0 	0 	0 	0 	0 	0 		0 	3 	0 		0 		7 
Bonaire, Sint Eustatius and Saba																																																																								
Bosnia and Herzegovina	0 	0 		27 	1 		0 	0 	0 		0 	0 	0 					0 		6 				0 	0 	0 	6 					0 		32 	0 						32 					8 							0 			0 			0 	0 	1 	5 	0 			C 	50 	0 		0 	C 	167 
Botswana	0 	0 	C 	0 			0 	0 			0 		0 					0 		0 				0 	0 	0 	4 					0 		0 	0 						12 			51 		0 							0 			0 			26 	0 	1 	0 	0 			27 	5 	0 		0 		126 
Brazil	278 	0 	166 	812 	5540 		227 	184 			1754 	5865 	99 	C 	5 	17 	24 	154 	0 	1184 			20 	2223 	4578 	19 	521 	14 		43 	1379 	1 		6009 	2713 	191 		16 		6 	12772 					6043 	136 	0 	220 		69 	21 	0 	1036 		0 	97 	1 	6 	3221 	89 	1691 	0 	37 		7819 	50229 	1142 		1 		118673 
