COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Montserrat	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 				1 	0 			0 					0 			0 	0 		0 	0 				0 					0 					6 		0 	0 	0 	0 				0 	0 					0 	0 	0 	0 	0 	7 
Morocco	0 		C 	56 		50 	0 	6 	0 		0 	5 	2 	0 	6 				38 		7 	12 		C 	2654 	233 			22 					127 	0 		228 	19 	66 	0 	1 	73 		1 	390 			42 		93 	0 						0 	21 	0 	0 				1503 	12 	14 				188 	455 	0 	0 	0 	6323 
Mozambique	0 		0 	0 	22 	0 		0 	0 	0 	0 	0 		0 	0 				0 		0 					0 			0 					0 	0 		0 	0 		0 	0 				0 			11 		0 			1 				0 	77 	0 	0 				0 	0 	0 				0 	0 	0 	0 	0 	111 
Myanmar	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 					12 			0 					0 	0 		0 	0 		0 	0 				0 					0 							0 	0 	0 	0 				0 	0 	0 	0 			0 	0 	0 	0 	0 	12 
Namibia	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 					0 			0 					1 	1 		0 	0 	2 	0 	0 				0 			13 		0 							0 	0 	0 	0 			72 	0 	1 	0 				2 	3 	0 	0 	0 	95 
Nauru	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 					0 			0 					0 	0 		0 	1 		0 	0 				0 					0 							0 	0 	0 	0 				0 	0 	0 				0 	0 	0 	0 	0 	1 
Nepal	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 				3 	0 			0 			3 		0 	0 		0 	0 		0 	0 				0 			35 		0 			2 				0 	0 	0 	0 				0 	0 	0 				0 	0 	0 	0 	0 	43 
Netherlands	31 	21 	22953 	26605 	2 	1072 	1232 	86749 	8727 	145 	107 	16125 	1209 	255 	12795 	683 	161 	75 	1206 	3227 	9184 	28 	364 	14004 	272662 	192530 	118 	3620 	3620 	319 	1955 		333 	64705 	173 	692 	79995 	76134 	15198 	638 	2052 	320 	6 	84 	133447 	66 	578 	1101 	17 		388 	C 	17696 	215 	44 	108 	957 	11705 	22 	2698 	7160 	876 	65 	64239 	12006 	58589 	1482 	14 		156708 	235059 	61 	714 	60673 	1688807 
Netherlands Antilles	0 	34 	70 	1223 	21 	20 	0 	4451 	124 	3 	11 	1704 	36 	4 	957 	5 	0 	3 	28 	173 	218 		7 	33 	71277 	5922 	2 	149 	450 	20 	0 		1 	995 	10 	4 	2070 	8618 	14917 	5 	1 			3 	6327 					2675 			628 		161 		7 	410 	0 	1 	88 			2442 	165 	3469 				2682 	89289 	10 	3 	C 	221926 
New Zealand	2 		4262 	29 	10 	0 	6 	88 	87 	0 	0 	1107 	32 	0 	531 	3 	14 		49 		46 			0 	428 	938 		0 	88 	1 	0 	16 		2193 	9 	15 	77 	5390 	1170 	0 	13 	5 		0 	1437 	4 		82 		369 	12 		368 			11 	C 	14 	0 	0 	797 		5 	78 	223 	1462 	1 			5372 	9798 	0 	0 	C 	36639 
