COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Cook Islands	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	0 	0 			0 	0 		0 	0 	0 	1 			0 		0 	0 	0 					0 					0 	0 				0 		0 	0 		0 	C 		0 			0 	0 		0 		0 	7 	0 		0 	8 
Costa Rica	0 		0 	4 	16 	1 	8 	0 	115 		1 	0 		16 	5 	C 		0 			0 		34 			0 	1 	115 		0 	14 	0 		0 	0 	49 	0 		8 	38 	6 	0 	3 	0 					359 					0 	90 		1 		213 		0 	0 		0 	C 		0 		C 	0 	8 		0 		106 	769 	0 		0 	1979 
Cote d'Ivoire	0 		C 	12 		0 	0 	0 	50 		0 	0 	9 		0 	13 		0 			0 		146 			C 	219 	45 		0 	73 	0 		0 	0 	29 	0 		5 	67 	85 	0 	0 	0 			0 		681 	0 		55 		0 	80 		201 		0 		0 	0 		0 	C 		0 	28 		0 	0 		0 		276 	716 	0 		C 	2790 
Croatia	0 	0 	3 	929 		1 	0 	47 	153 		0 	100 	36 		0 	3 		0 			2 	2 	364 		16 	53 	1586 	1129 	2 	33 	109 	27 	0 	0 	0 	272 	0 		391 	129 	24 	0 	4 	0 		26 	2 	15 	2118 		7 	1 		0 	381 		56 		0 		C 	0 	3 	4 	C 	162 	47 		C 	6 	120 	3 	0 		486 	2276 	1 		C 	11127 
Cuba	0 		C 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	0 	0 			6 	0 	1 	0 	0 	0 	0 			0 		0 	0 	0 					0 					0 	4 				0 		0 	0 		0 			0 			6 	0 		0 		23 	0 	190 	10 	0 	240 
Curacao	0 	10 	0 	616 			11 	2711 	72 		0 	11 	1378 	6 	4 	15 	0 	0 	0 		16 	452 	234 				38836 	1801 		82 	23 	77 		0 	0 	884 		23 	965 	10212 	62 	43 	7 	0 		1 		5 	3406 	1 				0 	1998 		38 		0 		19 	123 	C 	1 	C 	39 	44 		977 	66 	3123 		0 		224 	69652 	1 		C 	138267 
Curacao & St. Maarten																																																																																
Cyprus	0 	0 	21 	190 			0 	123 	7 		0 	1 	89 		0 	625 		0 				88 	118 		7 	127 	249 	614 		1086 	143 	3 	0 	2 	0 	139 	0 		63 	16 	1158 	22 	24 	0 		32 	8 	7 	1663 	9 	17 	94 		0 	215 	0 	751 		0 		81 	10 	23 	2735 	C 	103 	4 	2 	C 	182 	67 		1 	66 	1280 	1587 	0 		C 	13851 
Czech Republic	0 		237 	3648 			0 	2090 	11 		0 	494 	215 		0 	62 		0 		0 	19 		202 		33 	116 	3217 	8241 	2 	9 	152 	154 	0 	0 	0 	710 	0 	1 	1093 	940 	716 	28 	58 	0 		11 		64 	3796 		25 			0 	2582 		1200 		0 		431 	18 	8 	2 	C 	1091 	194 		C 	115 	1158 	1 	0 		3918 	4420 	0 		C 	41483 
Denmark	0 	1 	C 	3312 		20 	36 	2547 	895 	1 	1462 	26 	3281 	1 	250 	618 	113 	1 	18 	15 	13 	31 			91 	40137 	16980 	28631 	232 	17 	13737 	2 	44 	0 	0 	8668 	209 	38 	2555 	11852 	1963 	581 	293 	2 	10 	33 	6 	132 	17854 	21 	35 	178 		0 	9430 	0 	25606 		3 	0 	6 	531 	0 	4 	C 	240 	70 	204 	540 	22680 	11054 	6 	14 		19756 	49269 	1 		C 	296360 
Djibouti	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 		0 			0 	0 		0 	0 	0 	0 			0 	2 	0 	0 	0 					0 					0 	0 				0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	2 
Dominica	0 		0 	0 			5 		0 		0 	0 			0 	0 		0 		0 	0 		0 			0 		0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					2 					0 	0 				0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	7 
Dominican Republic	0 	0 	C 	13 		0 	0 	4 	123 		0 	0 	68 	7 	2 	C 		60 	0 	46 	0 		98 			0 	18 	108 			20 	0 		0 	0 	59 	0 		39 	41 	68 	0 	0 	0 		0 	0 		699 					0 	165 				95 		0 	0 		0 			0 		C 	0 	16 		0 		69 	1102 	0 		0 	2923 
Ecuador	0 		0 	5 		0 	0 	0 	0 		1 	0 			0 	6 		0 	1 		0 		9 			0 	15 	4 		0 	8 	0 		0 	0 	0 	0 		3 	5 		0 	0 	0 			0 		188 					0 	3 				19 		0 	0 		0 	C 		0 		C 	0 	0 		6 		27 	289 	1 		C 	589 
Egypt	0 	0 	C 	21 		138 	0 	16 	20 		0 	0 	159 		9 	23 		0 		0 	26 	0 	119 			C 	473 	88 		8 	262 	1 		0 	0 	416 	0 		23 	62 	137 	0 	27 	0 	766 	0 	8 		1048 	5 		34 		0 	220 		359 		8 		0 	0 		1 	C 		0 	227 	C 	30 	67 	5 	0 		1074 	4655 	0 		0 	10539 
